principal Component 1,Principal Component 2,Predicted Label,Actual Label
0.007466304584609078,0.00011495759484669071,1,1
-0.0023024604313775197,-0.0001369295976123285,1,1
-0.0023089751442908826,0.0009165990508155168,0,1
-0.002297410312803618,-0.000158631924666554,1,1
-0.0022938939529102286,-0.00011400189273102136,1,1
-0.002293489969773353,-0.00012332556809565301,1,1
-0.002293430899832279,-0.00012678496810926144,1,1
0.006298383429636659,-0.0001293646170958069,1,1
0.006297451604775055,-9.865608846055104e-05,1,1
-0.0022992146712619726,-0.00012732226125335911,1,1
0.00011212294631548811,-0.0001654170174797502,1,1
-0.002295793700913358,-0.00012492560454035984,1,1
-0.002316791876088453,0.0008683013970368494,0,1
-0.0023116539678975255,0.0008673017956991572,0,1
-0.0023110377330070706,0.0008736578803977504,0,1
0.0016577914266297747,-0.00010425448238431224,1,2
0.0069062593938755724,-0.00014014345915148408,1,2
0.024820856598036577,-0.00014637724852774924,2,2
0.004761635868850973,-7.58197586040061e-05,1,2
0.001661172327696686,-0.0001051895457501505,1,2
0.0016584258389068867,-0.00011739645824760392,1,2
0.0016597921084239861,-0.00011329036760367827,1,2
0.001661543344247531,-0.00017916342172930288,1,2
0.0016574291890919881,-0.00014561389708597482,1,2
0.0016564035077987717,-8.441331107090386e-05,1,2
0.0016552789816240622,-8.939776364324683e-05,1,2
0.0016549025336329533,-0.00014005857320666543,1,2
0.0016518202926388168,-7.023862142197556e-05,3,2
0.015719063345112014,-2.6314466733819476e-06,1,2
0.0017232787275257642,-0.00011196651812267326,1,2
-0.0022913230036827755,-0.00014656079921720571,1,2
-0.0022922034618766047,-0.000128750816931156,1,2
0.007646188772199286,-8.359270974217251e-05,1,2
0.0016563824815655891,-0.00010310031110109809,1,2
0.0016609911221047633,-0.00010521837650251378,1,2
0.005240949226718936,-0.00011964694264415468,1,2
0.006293427658536771,-8.561050469645626e-05,1,2
0.001654601682846303,-0.00018182358506677921,1,2
0.0016622084460138186,-0.00010728274343317607,1,2
0.01984305396927232,0.0002775577728070138,2,2
0.0016569784499457275,-0.00011244239511377237,1,2
0.0016521783563659706,-0.0001505529317131921,1,2
0.010066660052430655,-4.755145096627255e-05,1,2
0.0016593902276556027,-0.000116175158274464,1,2
0.0016509967769895004,-0.0001353755892868743,1,2
0.0016636209007120871,-0.00018283851120349994,1,2
0.017516355361381783,8.043223933750819e-05,1,2
